"site_id","landowner","stand","site_rep","trt","year","date","date_mdy","sal_id","sal_rep","obs","subplot","pass","spp","cover_obj","substrate","age_class"
"10185 _ 1 _ 2023","WY","10185",1,"BS",2023,"4/10/2023",2023-04-10,"10185 _ 1 _ 2023 _ 2",2,"BZ",5,"1","OSS","W","D",""
"10185 _ 1 _ 2023","WY","10185",1,"BS",2023,"4/10/2023",2023-04-10,"10185 _ 1 _ 2023 _ 3",3,"BZ",5,"1","OSS","W","D",""
"10185 _ 1 _ 2023","WY","10185",1,"BS",2023,"4/10/2023",2023-04-10,"10185 _ 1 _ 2023 _ 4",4,"JB",5,"3","OSS","W","W","J"
"10403 _ 1 _ 2023","WY","10403",1,"BS",2023,"3/22/2023",2023-03-22,"10403 _ 1 _ 2023 _ 1",1,"JW",7,"1","OSS","W","W",""
"10444 _ 1 _ 2023","WY","10444",1,"HU",2023,"3/22/2023",2023-03-22,"10444 _ 1 _ 2023 _ 1",1,"BZ",5,"1","OSS","W","W","SA"
"10488 _ 1 _ 2023","WY","10488",1,"HB",2023,"3/21/2023",2023-03-21,"10488 _ 1 _ 2023 _ 1",1,"BZ",7,"1","OSS","W","D","A"
"10506 _ 1 _ 2023","WY","10506",1,"BS",2023,"3/13/2023",2023-03-13,"10506 _ 1 _ 2023 _ 1",1,"JW",2,"2","OSS","W","L","J"
"10506 _ 1 _ 2023","WY","10506",1,"BS",2023,"3/13/2023",2023-03-13,"10506 _ 1 _ 2023 _ 2",2,"JB",3,"1","OSS","W","L","J"
"10553 _ 1 _ 2023","WY","10553",1,"HB",2023,"5/10/2023",2023-05-10,"10553 _ 1 _ 2023 _ 1",1,"JW",1,"1","OSS","W","W","A"
"10553 _ 1 _ 2023","WY","10553",1,"HB",2023,"5/10/2023",2023-05-10,"10553 _ 1 _ 2023 _ 2",2,"JB",1,"2","OSS","W","W","A"
"10553 _ 1 _ 2023","WY","10553",1,"HB",2023,"5/10/2023",2023-05-10,"10553 _ 1 _ 2023 _ 3",3,"JB",4,"1","OSS","W","W","A"
"10553 _ 1 _ 2023","WY","10553",1,"HB",2023,"5/10/2023",2023-05-10,"10553 _ 1 _ 2023 _ 4",4,"JB",7,"2","OSS","W","W","A"
"10553 _ 1 _ 2023","WY","10553",1,"HB",2023,"5/10/2023",2023-05-10,"10553 _ 1 _ 2023 _ 5",5,"JW",7,"3","OSS","W","W","A"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"3/21/2023",2023-03-21,"10963 _ 1 _ 2023 _ 1",1,"BZ",4,"1","OSS","W","W","SA"
"10963 _ 1 _ 2023","WY","10963",1,"UU",2023,"3/21/2023",2023-03-21,"10963 _ 1 _ 2023 _ 2",2,"JW",4,"3","OSS","W","W",""
"20616 _ 1 _ 2023","WY","20616",1,"UU",2023,"5/15/2023",2023-05-15,"20616 _ 1 _ 2023 _ 1",1,"BZ",1,"1","ENES","W","D","J"
"20616 _ 1 _ 2023","WY","20616",1,"UU",2023,"5/15/2023",2023-05-15,"20616 _ 1 _ 2023 _ 2",2,"JW",5,"1","ENES","W","W","A"
"29431 _ 1 _ 2023","WY","29431",1,"UU",2023,"6/2/2023",2023-06-02,"29431 _ 1 _ 2023 _ 1",1,"JB",3,"1","OSS","W","W","A"
"33810 _ 1 _ 2023","WY","33810",1,"HU",2023,"4/10/2023",2023-04-10,"33810 _ 1 _ 2023 _ 1",1,"BZ",2,"3","ENES","W","W","A"
"33810 _ 1 _ 2023","WY","33810",1,"HU",2023,"4/10/2023",2023-04-10,"33810 _ 1 _ 2023 _ 2",2,"JB",4,"2","OSS","W","D","A"
"33810 _ 1 _ 2023","WY","33810",1,"HU",2023,"4/10/2023",2023-04-10,"33810 _ 1 _ 2023 _ 3",3,"JW",7,"2","OSS","W","W","A"
"12033 _ 1 _ 2023","ODF","12033",1,"BU",2023,"4/26/2023",2023-04-26,"12033 _ 1 _ 2023 _ 16",16,"JW",7,"1","OSS","N","W","SA"
"12441 _ 1 _ 2023","ODF","12441",1,"BU",2023,"4/27/2023",2023-04-27,"12441 _ 1 _ 2023 _ 8",8,"JB",5,"1","OSS","N","R","A"
