This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,station_id
"CGSO2","LITTLE WASHI",-98.0753,34.9367,384,"HYD","45004"
"CHAL1","CHAUVIN BAYO",-92.1111,32.4822,-9999,"HYD","45030"
"CHAN7","CHATUGE DAM",-83.7931,35.0175,-9999,"HYD","45044"
"CHCG1","KEITHS MILL",-84.8806,34.7433,204,"HYD","45075"
"CHIG1","CHICKAMAUGA",-85.2889,34.8658,219,"HYD","45169"
"CHKC2","CHALK CREEK",-106.1594,38.7336,-9999,"HYD","45190"
"CHLA3","CHILDS PRECI",-111.7000,34.3500,829,"HYD","45207"
"CHRA3","CHERRY CREEK",-110.8556,33.8278,976,"HYD","45313"
"CHTM7","CARTHAGE",-94.3156,37.1864,288,"HYD","45387"
"CHWC1","CHEWS RIDGE",-121.5648,36.3046,1495,"HYD","45421"
"CIBL1","INDIAN BAYOU",-93.2543,30.3397,4,"HYD","45450"
"CISO2","LITTLE WASHI",-98.1369,34.8553,393,"HYD","45504"
"CKCL1","KAYOUCHEE CO",-93.1668,30.1983,3,"HYD","45554"
"CKEN7","CHEROKEE",-83.2428,35.5706,-9999,"HYD","45567"
"CKGL1","KENNER GULLY",-93.1219,30.2615,4,"HYD","45576"
"CKSC2","SOUTH PLATTE",-102.8133,40.8433,1133,"HYD","45617"
"CKVT1","CUMBERLAND R",-87.3833,36.5167,-9999,"HYD","45634"
"CKYT1","CHUCKEY",-82.7028,36.2192,457,"HYD","45640"
"CLCA3","COLCORD MTN",-110.9500,34.3000,1880,"HYD","45689"
"CLCC1","CLEAR CRK",-122.7336,40.6389,1006,"HYD","45690"
"CLFA3","COLORADO RIV",-111.5833,36.8667,947,"HYD","45755"
"CLFN2","CALIFORNIA W",-114.7036,36.4767,634,"HYD","45764"
"CLLC1","CALLEGUAS CK",-119.0389,34.1794,21,"HYD","45852"
"CLMM3","DEERFIELD RV",-72.8556,42.6258,158,"HYD","45883"
"CLNK1","CLAYTON 4W D",-100.1000,39.7667,716,"HYD","45903"
"CLRO2","HWY 20 BRDG",-95.6978,36.3072,164,"HYD","45961"
"CLSC1","SACRAMENTO R",-122.0217,39.3383,23,"HYD","45975"
"CLTM2","CALVERTON",-76.9175,39.0847,118,"HYD","46003"
"CLYO2","LITTLE RIVER",-95.1989,34.3256,168,"HYD","46080"
"CMBK2","CUMBERLAND",-82.9939,36.9739,433,"HYD","46104"
"CMDO1","SEVEN MILE C",-84.6444,39.6292,-9999,"HYD","46138"
"CMNA1","DALLAS BRANC",-86.5742,34.7456,-9999,"HYD","46187"
"CMTN7","CHRISTMOUNT",-82.2911,35.5914,1056,"HYD","46254"
"CMVC1","CAMPTONVILLE",-120.8683,39.4522,1067,"HYD","46263"
"CNEA3","CIENEGA CREE",-110.5700,31.8655,1266,"HYD","46316"
"CNFO1","CANFIELD",-80.7564,41.0106,354,"HYD","46331"
"CNLO2","DAM NORTH CA",-98.6014,36.0842,503,"HYD","46371"
"CNMP1","CONEMAUGH DA",-79.3678,40.4683,268,"HYD","46379"
"CNOC1","CHINO HILLS",-117.7833,33.9839,301,"HYD","46395"
"CNSN4","RESERVOIR",-74.5000,41.1167,351,"HYD","46427"
"CNTA1","PINHOOK CK C",-86.5933,34.7275,-9999,"HYD","46431"
"CNVW2","CANAAN VALLE",-79.4494,39.0106,1000,"HYD","46469"
"COAM8","CONRAD AG RC",-111.9236,48.3045,1130,"HYD","46506"
"COCC1","COACHELLA CA",-115.4486,33.2556,30,"HYD","46530"
"COCN6","CORNING COLL",-77.0844,42.1306,518,"HYD","46543"
"CODC1","COW RIDGE",-121.6500,37.2667,915,"HYD","46554"
"COEC1","COE PARK",-121.5428,37.1817,835,"HYD","46565"
"COML1","COMITE RIVER",-91.0983,30.5567,3,"HYD","46698"
"COMM7","MISSISSIPPI",-89.4333,37.1500,-9999,"HYD","46700"
"CONL1","BAYOU CONWAY",-90.8444,30.1731,-9999,"HYD","46718"
"COOC1","CHORRO GRAND",-119.3356,34.6069,1326,"HYD","46733"
"CORK2","CORBIN",-84.1000,36.9500,323,"HYD","46797"
"COSC1","COSUMNES RVR",-121.2789,38.4167,23,"HYD","46825"
"COWO3","COTTAGE GROV",-123.0500,43.7200,244,"HYD","46902"
"COYC1","COYOTE RSVR",-121.5381,37.0886,245,"HYD","46915"
"CPLC1","CAPLES LAKE",-120.0419,38.7100,2439,"HYD","46996"
"CPLO2","DAM LITTLE C",-95.9528,36.8869,216,"HYD","47000"
"CPPC1","LOS MEDONOS",-121.8550,37.9983,40,"HYD","47020"
"CPPW1","COOPER PASS",-121.2108,47.4297,1000,"HYD","47029"
"CPWA3","CAMP WOOD",-112.8833,34.8000,1753,"HYD","47074"
"CRBQ2","CORBIN",-114.6500,49.5200,-9999,"HYD","47161"
"CRBW2","CRAB ORCHARD",-81.1275,37.4781,710,"HYD","47165"
"CRGA3","CATALINA STA",-110.8775,32.4453,974,"HYD","47248"
"CRKA4","SPADRA CREEK",-93.4683,35.4683,112,"HYD","47284"
"CRKT1","CHEROKEE DAM",-83.4978,36.1692,320,"HYD","47297"
"CRQC1","CREST PARK",-117.1994,34.2311,1715,"HYD","47405"
"CRRC1","CORRAL HOLLO",-121.4669,37.6633,88,"HYD","47409"
"CRRV2","CARRINGTON R",-77.2536,38.9356,-9999,"HYD","47430"
"CRSQ2","CRESTON",-116.5200,49.1000,-9999,"HYD","47457"
"CRTA3","CROOK TRAIL",-111.5667,34.5000,1799,"HYD","47464"
"CRWW1","CHEHALIS R A",-122.9828,46.6611,32,"HYD","47531"
"CRXC1","CIRCLE X ALE",-118.9361,34.1092,610,"HYD","47534"
"CRYN2","CAREY/LK MEA",-115.1803,36.1986,646,"HYD","47547"
"CRYP1","CORRY",-79.6500,41.9167,-9999,"HYD","47552"
"CRZA3","CARRIZO CREE",-110.2833,33.9833,1448,"HYD","47554"
"CSBC1","CAL STATE SA",-117.2617,34.1867,474,"HYD","47571"
"CSCI1","CASCADE WEAT",-116.0500,44.5167,1472,"HYD","47583"
"CSMC1","CASTLE MTN",-120.3278,35.9417,1220,"HYD","47656"
"CSPO3","CASCADIA",-122.4833,44.4000,262,"HYD","47684"
"CSQG1","SOQUE RIVER",-83.5289,34.6186,396,"HYD","47693"
"CSSK1","CASSODY DCP",-96.6394,38.0269,445,"HYD","47710"
"CSXC1","CAMP 6 RAWS",-123.8764,41.8308,1152,"HYD","47750"
"CTLP1","CENTRAL CITY",-78.6333,40.1000,-9999,"HYD","47836"
"CTNC1","COTTONWOOD C",-122.8811,40.3169,1037,"HYD","47846"
"CTNM2","CENTENNIAL A",-76.8475,39.2397,97,"HYD","47855"
"CTRG1","CARTERS DAM",-84.6706,34.6158,326,"HYD","47886"
"CTTS2","SOUTH FORK B",-101.7667,43.9689,684,"HYD","47912"
"CUSN7","CULLASAJA RI",-83.2942,35.1420,637,"HYD","48010"
"CVET2","RANGER CREEK",-96.8069,33.5261,203,"HYD","48049"
"CVPW2","RED CREEK",-79.4742,39.0131,1061,"HYD","48088"
"CVTM2","CALVERTON",-76.9278,39.0611,68,"HYD","48107"
"CWCP1","COWANESQUE C",-77.1514,41.9847,335,"HYD","48137"
"CWRQ2","CHILLIWACK R",-121.7167,49.0333,1662,"HYD","48197"
"CWSN2","C 1 CHANNEL",-114.9583,36.0447,561,"HYD","48202"
"CXST2","CHILDRESS 2N",-100.1989,34.4564,592,"HYD","48246"
"CYAC1","CUYAMA FIRE",-119.6167,34.9333,694,"HYD","48252"
"DACC1","DAY CANYON",-117.5317,34.1569,683,"HYD","48380"
"DANA4","PETIT JEAN R",-93.3956,35.0586,113,"HYD","48440"
"DARN8","LAKE DARLING",-101.5833,48.4500,481,"HYD","48470"
"DBEC1","DILLON BEACH",-122.9578,38.2575,139,"HYD","48544"
"DBVA3","DRY BEAVER C",-111.7750,34.7286,1126,"HYD","48593"
"DCFC1","DRY CRK FIRE",-122.4667,38.4056,169,"HYD","48648"
"DCJN2","DUCK CREEK A",-115.1694,36.0083,686,"HYD","48668"
"DCNG1","CORNELIA",-83.6206,34.5408,344,"HYD","48692"
"DCUC1","DRY CREEK NE",-120.3119,37.6539,222,"HYD","48734"
"DDMC1","DEADMAN CK S",-119.6531,38.3319,2820,"HYD","48783"
"DDWC1","DIDDY WELLS",-122.1000,40.7000,396,"HYD","48805"
"DDZM7","SAC RIVER",-93.6833,37.4500,323,"HYD","48810"
"DECC1","DEER CREEK D",-117.5739,34.1689,707,"HYD","48829"
"DEHT2","COLE CREEK A",-95.4878,29.8511,-9999,"HYD","48873"
"DELM5","POWER PLANT",-93.7900,45.0419,276,"HYD","48886"
"DELT1","DEL RIO",-82.9744,35.8867,476,"HYD","48893"
"DEQA4","COSSATOT RIV",-94.2167,34.0500,109,"HYD","48929"
"DFDW1","DRY FALLS DA",-119.3011,47.6183,482,"HYD","49012"
"DFSU1","DRAPER FIRE",-111.8692,40.5267,1366,"HYD","49034"
"DGFC1","REDROCK CREE",-118.8925,34.5222,892,"HYD","49053"
"DGLC2","DOUGLAS RESE",-103.8872,38.7150,-9999,"HYD","49058"
"DGYU1","DUGWAY",-113.0199,40.1659,1316,"HYD","49079"
"DHTC1","DESERT HOT S",-116.4933,33.9675,374,"HYD","49107"
"DIAK1","DIAMOND SPRI",-96.6000,38.5667,415,"HYD","49117"
"DICM1","DICKEY",-69.0880,47.1130,180,"HYD","49125"
"DIDW1","DIABLO RESER",-121.1333,48.7167,317,"HYD","49133"
"DIEA4","DAM SALINE R",-94.1000,34.1475,209,"HYD","49134"
"DIRA4","SALINE RIVER",-94.0833,34.1000,112,"HYD","49165"
"DISN2","DESERT INN S",-115.1639,36.1297,631,"HYD","49171"
"DKFC1","DEER CREEK F",-120.8250,39.3000,1358,"HYD","49218"
"DKWC1","DESERT KNOLL",-117.1072,34.5394,856,"HYD","49234"
"DLBT2","DEKALB",-94.6177,33.4794,127,"HYD","49250"
"DLCC1","DOYLE CROSSI",-120.4911,40.1169,1729,"HYD","49251"
"DLNG1","MILL CREEK A",-84.9750,34.7883,212,"HYD","49301"
"DLPU1","DECKER LAKE",-111.9492,40.7086,1291,"HYD","49315"
"DMCT2","DEAD MAN S C",-101.3236,29.7847,427,"HYD","49358"
"DMLA4","DS HWY 59 BR",-94.4863,35.8800,301,"HYD","49371"
"DMST2","DIMMITT 2NE",-102.2933,34.5675,1182,"HYD","49406"
"DNRC1","DONNER LAKE",-120.2814,39.3250,1806,"HYD","49479"
"DORN5","DORA 2SW",-103.3578,33.9201,1323,"HYD","49584"
"DOVT1","CUMBERLAND R",-87.8384,36.4900,122,"HYD","49612"
"DPCV2","DEEP CREEK",-76.3406,36.7464,-9999,"HYD","49632"
"DPHC1","DRUM POWERHO",-120.7667,39.2639,1036,"HYD","49640"
"DPSA3","DIAMOND CREE",-113.3675,35.7650,1280,"HYD","49669"
"DQNA4","ROLLING FORK",-94.4167,34.0500,-9999,"HYD","49685"
"DRBC2","CLEAR CREEK",-104.9583,39.8283,1558,"HYD","49697"
"DRDA4","L&D 10 ARKAN",-93.1675,35.2494,-9999,"HYD","49719"
"DRWT2","ONION CREEK",-98.0081,30.0831,-9999,"HYD","49834"
"DSNC1","DRY CK NR SN",-120.4633,37.5550,70,"HYD","49893"
"DSRC1","DUBLIN FIRE",-121.9267,37.7317,108,"HYD","49916"
"DTLA4","DAVID D. TER",-92.1500,34.6667,77,"HYD","49950"
"DTTT2","DETROIT",-95.8641,33.6594,122,"HYD","49982"
"DTWO3","DETROIT DAM",-122.2500,44.7167,396,"HYD","49988"
"DUBP1","DU BOIS",-78.7667,41.1333,427,"HYD","50001"
"DUBW4","WIND RIVER N",-109.7592,43.5786,2192,"HYD","50004"
"DUDC1","DUDLEY RANCH",-120.1331,37.7411,1114,"HYD","50010"
"DUFV2","DUFFIELD",-82.8000,36.7167,-9999,"HYD","50015"
"DUGA1","BIG COVE CRK",-86.5122,34.7047,-9999,"HYD","50017"
"DUGT1","DOUGLAS DAM",-83.5406,35.9625,-9999,"HYD","50025"
"DUNT1","DUNLAP",-85.3806,35.3633,213,"HYD","50063"
"DURK1","DURHAM DCP",-97.2138,38.5213,421,"HYD","50075"
"DURO2","DICKSON",-96.9761,34.2333,198,"HYD","50081"
"DVBC1","DANVILLE LIB",-122.0644,37.8706,116,"HYD","50103"
"DVCC1","DON VICTOR P",-119.4622,34.6375,1402,"HYD","50105"
"DVPV2","DAVENPORT",-82.1000,37.3333,-9999,"HYD","50147"
"DVRA4","HWY 164 BRDG",-93.1733,35.5133,131,"HYD","50149"
"DVRC1","DAVIS RANCH",-122.4500,40.3533,168,"HYD","50150"
"DVSC1","LAKE DAVIS",-120.4753,39.8839,1759,"HYD","50157"
"DVST2","DENVER CITY",-102.9389,32.9908,1113,"HYD","50166"
"DWCA3","DETRITAL WAS",-114.4688,35.7022,740,"HYD","50181"
"DWHT2","DESERT WATER",-96.4017,33.4275,-9999,"HYD","50199"
"DWNP1","E BR BRANDYW",-75.6667,39.9667,59,"HYD","50208"
"DWRT2","WHITE ROCK C",-96.7564,32.8892,148,"HYD","50217"
"EATT1","EATON",-89.1406,35.9606,91,"HYD","50373"
"EBRP1","E. BRANCH CL",-78.6000,41.5500,-9999,"HYD","50429"
"ECCT2","EVANS CREEK",-101.1028,29.5375,-9999,"HYD","50463"
"ECHS2","SOUTH CANYON",-103.3272,44.0939,1131,"HYD","50481"
"ECMA3","EAGLE CK ABV",-109.4417,33.0644,1120,"HYD","50495"
"ECYN2","ELBOW CANYON",-114.9800,36.7467,1022,"HYD","50536"
"EDIN1","TURKEY CREEK",-99.7339,40.2711,655,"HYD","50591"
"EDOC1","NF COSUMNES",-120.8439,38.5889,306,"HYD","50633"
"EDTN6","EDMESTON RAI",-75.2700,42.6900,454,"HYD","50656"
"EEPC1","DEEP CREEK",-117.1342,34.2758,1475,"HYD","50695"
"EFKU1","EAST FK BLAC",-110.5439,40.9000,2838,"HYD","50732"
"EGDC2","CHERRY CREEK",-104.8536,39.6508,1707,"HYD","50774"
"EHST2","EVANT HIGH S",-98.1517,31.4739,379,"HYD","50877"
"EKHC1","DRY CK BYPAS",-121.4475,38.6842,14,"HYD","50926"
"EKMW1","ELK MEADOWS",-123.6333,47.2833,171,"HYD","50944"
"EKVN7","ELKVILLE ELK",-81.4000,36.0667,-9999,"HYD","50965"
"ELCM7","LOGAN CREEK",-90.9653,37.2464,-9999,"HYD","50996"
"ELGC1","ELK GROVE FI",-121.3769,38.4225,14,"HYD","51037"
"ELIG1","COOSAWATTEE",-84.5086,34.6717,371,"HYD","51053"
"ELKK2","RUSSELL FORK",-82.3431,37.3039,236,"HYD","51074"
"ELKP1","ELKLAND",-77.3000,41.9833,-9999,"HYD","51084"
"ELPC1","EL CAPITAN D",-116.8069,32.8833,235,"HYD","51166"
"ELRP1","ELDRED",-78.3333,41.9667,-9999,"HYD","51186"
"ELSA1","ELLISVILLE/",-85.6142,34.0650,164,"HYD","51191"
"ELTC2","ELLIOT CREEK",-106.3292,39.8744,-9999,"HYD","51208"
"EMDT2","REDFORD",-104.2161,29.4856,773,"HYD","51281"
"EMFU1","EAST MILLCEE",-111.8253,40.6964,1402,"HYD","51286"
"EMGT1","YELLOW CREEK",-87.5500,36.3167,127,"HYD","51289"
"EMIO3","EMIGRANT LAK",-122.6042,42.1639,623,"HYD","51294"
"EMSS2","BELLE FOURCH",-102.5667,44.3667,662,"HYD","51347"
"ENCC1","ENCINITAS AL",-117.2667,33.0333,91,"HYD","51368"
"ENGG1","LOOKOUT CREE",-85.4631,34.8975,-9999,"HYD","51390"
"ENGO1","STILLWATER R",-84.2825,39.8694,238,"HYD","51396"
"EPKN5","EAGLE PEAK",-108.5792,33.6806,2984,"HYD","51510"
"EPRT2","1.7MI. UPSTE",-106.5403,31.8028,-9999,"HYD","51538"
"EQDN2","EQUESTRIAN D",-114.9394,36.0217,631,"HYD","51561"
"ERFQ2","ELK RIVER AT",-115.0680,49.5140,1001,"HYD","51591"
"ERGC1","ELDER GULCH",-117.1478,34.1436,894,"HYD","51594"
"ERMT2","VILLAGE CREE",-97.2647,32.6003,-9999,"HYD","51622"
"ESCA3","ESCUDILLA PE",-109.1208,33.9486,3316,"HYD","51674"
"ESRC1","ESTRELLA R N",-120.6392,35.7172,205,"HYD","51746"
"ETKC1","PAUMA VALLEY",-116.8667,33.2889,915,"HYD","51818"
"ETNG1","ETON 5W",-84.8508,34.8278,205,"HYD","51826"
"EURK1","FALL RIVER E",-96.3000,37.8166,-9999,"HYD","51885"
"EVDA3","EAST VERDE R",-111.6380,34.2763,762,"HYD","51903"
"EVGC1","EVERGREEN",-121.7369,37.3047,137,"HYD","51912"
"EVPA3","E VERDE R DI",-111.2631,34.4178,1760,"HYD","51930"
"EWGN4","SHABAKUNK CR",-74.4625,40.1615,27,"HYD","51968"
"EYSC1","POINT REYES",-122.8083,38.0678,7,"HYD","52021"
"FAII4","MISSISSIPPI",-90.8833,41.4333,-9999,"HYD","52077"
"FARS2","RAPID CREEK",-102.8533,43.9419,823,"HYD","52135"
"FBRC2","FIRST CREEK",-104.7933,39.8078,-9999,"HYD","52209"
"FBRN4","FOUR BRIDGES",-74.7406,40.8061,174,"HYD","52211"
"FBSC1","FORBESTOWN P",-121.2658,39.5169,866,"HYD","52215"
"FCON2","FREEWAY CHAN",-115.1650,36.1519,625,"HYD","52284"
"FCTG1","TALKING ROCK",-84.4653,34.5714,400,"HYD","52304"
"FDLN6","FINDLEY LAKE",-79.7500,42.0500,-9999,"HYD","52341"
"FECO1","EAGLE CREEK",-83.6533,40.9792,-9999,"HYD","52386"
"FFXW1","CARBON R NR",-122.0333,47.0333,370,"HYD","52476"
"FGPT1","FITTS GAP; M",-83.2278,36.5889,462,"HYD","52500"
"FGRC1","FIGUEROA MTN",-120.0000,34.7500,976,"HYD","52502"
"FINI3","FINCASTLE",-86.9667,39.7833,-9999,"HYD","52566"
"FKZM7","SPENCER CREE",-91.3500,39.5167,-9999,"HYD","52652"
"FLAN4","FLAT BROOK N",-75.9500,41.1000,106,"HYD","52661"
"FLBC1","FALLBROOK AL",-117.2500,33.3500,159,"HYD","52669"
"FLKN4","FRANKLIN LAK",-74.1667,40.9833,149,"HYD","52732"
"FLLK1","FALL RIVER L",-96.0775,37.6466,311,"HYD","52741"
"FLST2","FLOYDADA 2NE",-101.3258,34.0017,969,"HYD","52821"
"FLTN7","BACKLUND HOR",-82.5567,35.4186,-9999,"HYD","52838"
"FLVT2","SAN ANTONIO",-98.1744,29.1099,-9999,"HYD","52849"
"FMII2","PERMI LAB",-88.2433,41.8586,-9999,"HYD","52889"
"FMTM7","FARMINGTON W",-90.4417,37.7667,271,"HYD","52924"
"FNSP1","CHALKHILL",-79.5867,39.8150,561,"HYD","52984"
"FOSN2","FOSSIL RIDGE",-115.2886,36.4356,1098,"HYD","53075"
"FQRQ2","ARROW RESERV",-118.0800,49.8700,-9999,"HYD","53148"
"FRIC1","FRIANT DAM",-119.6919,36.9950,176,"HYD","53272"
"FRKC2","CHERRY CK NR",-104.7628,39.3558,1875,"HYD","53283"
"FRMM8","TETON RVR WX",-112.1597,47.9006,1175,"HYD","53331"
"FRMW2","FRAMETOWN",-80.8833,38.6000,-9999,"HYD","53342"
"FRNK1","FALL RIVER",-95.8333,37.5083,282,"HYD","53353"
"FRTC1","FOUR TREES",-121.3211,39.8131,1570,"HYD","53412"
"FRWO3","FERN RIDGE W",-123.3000,44.1200,91,"HYD","53445"
"FRYA1","ALDRIDGE CRK",-86.5411,34.6239,-9999,"HYD","53449"
"FSHA3","FISH CREEK N",-111.2583,32.4833,747,"HYD","53489"
"FSLC1","FOLSOM LAKE",-121.1300,38.6917,168,"HYD","53512"
"FSNC1","SAN DIEGO RI",-117.1678,32.7650,6,"HYD","53529"
"FSSO3","NEHALEM R NR",-123.7542,45.7042,10,"HYD","53548"
"FSTQ2","KOOTENAY RIV",-115.6350,49.6120,767,"HYD","53562"
"FTGC2","FRUIT GROWER",-107.9500,35.8333,1723,"HYD","53618"
"FTHS2","MOREAU RIVER",-102.1561,45.1978,683,"HYD","53630"
"FVAC1","FRENCH VALLE",-117.1314,33.5717,404,"HYD","53736"
"FWNN2","FLAMINGO WAS",-115.0653,36.1422,527,"HYD","53782"
"GARW1","S FK SNOQUAL",-121.5833,47.4167,441,"HYD","53946"
"GASO3","TUALATIN R N",-123.1686,45.4364,52,"HYD","53956"
"GAXV2","NEW RIVER NR",-80.9833,36.6500,673,"HYD","53974"
"GAYA1","GAYLESVILLE",-85.5092,34.2903,171,"HYD","53975"
"GBEA3","GLOBE",-110.7661,33.3481,1159,"HYD","53992"
"GBPA4","GRAHAM BURKE",-91.0667,34.1833,-9999,"HYD","54041"
"GBRC1","GIBRALTER DA",-119.6833,34.5167,473,"HYD","54046"
"GBRQ2","GREAT BEAR S",-121.1833,49.6000,1662,"HYD","54055"
"GCCT2","GOVERNMENT C",-98.7511,29.5389,-9999,"HYD","54099"
"GCDA3","GILA RIVER B",-110.5306,33.1694,704,"HYD","54102"
"GCDW1","FRANKLIN D.",-118.9833,47.9667,366,"HYD","54106"
"GCKQ1","GARDINER CRE",-114.5160,49.3610,1970,"HYD","54126"
"GCRA3","GRANITE CRK",-112.4617,34.5519,1611,"HYD","54149"
"GDLC1","GOLD LAKE",-120.6167,39.6667,2058,"HYD","54212"
"GDMM8","GIBSON LAKE",-112.7616,47.6016,1440,"HYD","54221"
"GDPC1","ALAMITOS",-121.8692,37.2383,56,"HYD","54243"
"GDPN2","GOODSPRINGS",-115.4472,35.8522,1195,"HYD","54246"
"GDRM8","GARDNER RIVE",-110.6906,44.9925,1715,"HYD","54254"
"GDSN2","GOODSPRINGS",-115.4658,35.8097,1537,"HYD","54261"
"GDTA3","GILA RIVER A",-113.5406,32.8822,111,"HYD","54267"
"GDTC1","GOODWIN TUNN",-120.6831,37.8483,183,"HYD","54268"
"GDTI2","MISSISSIPPI",-89.5092,37.6361,-9999,"HYD","54269"
"GEHN4","GREAT EGG HA",-74.8514,39.5950,18,"HYD","54313"
"GENW1","GREENWATER",-121.6333,47.1333,527,"HYD","54330"
"GFMN7","GRANDFATHER",-81.8464,36.0853,1476,"HYD","54409"
"GFWM8","GREENFIELDS",-111.8125,47.6583,1165,"HYD","54427"
"GFZM7","TURNBACK CRE",-93.8000,37.4000,-9999,"HYD","54431"
"GGRC1","GLORIA GRADE",-121.2719,36.5317,714,"HYD","54448"
"GGST2","GAIL 2SE",-101.4142,32.7550,778,"HYD","54457"
"GHST2","GRAHAM 5 SW",-101.5161,33.0814,869,"HYD","54490"
"GIOC1","GILROY",-121.5044,37.0439,145,"HYD","54545"
"GLKA3","GILA R",-110.9758,33.1028,532,"HYD","54693"
"GLLA4","DAM COSSATOT",-94.2333,34.2167,159,"HYD","54698"
"GLNW4","GLENROCK 5ES",-105.7583,42.8361,1500,"HYD","54744"
"GLVM7","GLOVER MO",-90.6889,37.4833,-9999,"HYD","54796"
"GMSC2","INDIAN SPRGS",-105.6233,37.7658,-9999,"HYD","54850"
"GNBK2","SALT RIVER",-85.0667,38.0000,183,"HYD","54872"
"GNKS2","GRIZZLY BEAR",-103.4339,43.8803,1372,"HYD","54911"
"GNTM2","GRANTSVILLE",-79.1367,39.7022,640,"HYD","54954"
"GODW1","GORGE RSVR N",-121.2069,48.6981,213,"HYD","55007"
"GOMM8","GIVE OUT MOR",-105.2097,48.4819,-9999,"HYD","55031"
"GOYC1","CASTRO VALLE",-121.6006,36.9583,230,"HYD","55086"
"GPEN2","GALENA CK ST",-119.8528,39.3542,1951,"HYD","55103"
"GQQT2","SQUAW CREEK",-97.7867,32.3000,-9999,"HYD","55152"
"GRAP1","PERIKIOMEN C",-75.4500,40.2333,-9999,"HYD","55172"
"GRDC1","GIRARD",-122.2831,41.1331,1463,"HYD","55226"
"GREU1","GREEN RIVER",-110.1626,39.0182,1252,"HYD","55276"
"GRHC1","GRANITE HILL",-116.9172,32.7992,163,"HYD","55322"
"GRNC2","NORTH FORK S",-105.6636,39.4592,2615,"HYD","55388"
"GRNW1","GREENWATER R",-121.6361,47.1536,524,"HYD","55419"
"GRPM7","GREENVILLE P",-90.4583,37.1250,-9999,"HYD","55448"
"GRRC1","GREENVILLE",-120.9411,40.1394,1085,"HYD","55459"
"GRSN2","GRAPEVINE SP",-115.4808,36.2831,1491,"HYD","55481"
"GRYV2","GRAYSONTOWN",-80.5500,37.0333,555,"HYD","55580"
"GRZM7","NODAWAY RIVE",-95.0731,40.1997,192,"HYD","55587"
"GSCC1","GOLETA SCGAS",-119.8214,34.4192,23,"HYD","55600"
"GSCN6","GROVE SPRING",-77.1472,42.3858,244,"HYD","55604"
"GSGN2","GARDEN SPRIN",-114.2930,37.2720,1480,"HYD","55616"
"GTMC1","GOAT MTN",-119.5431,37.2700,1378,"HYD","55719"
"GTVU1","GRANTSVILLE",-112.3925,40.5908,1317,"HYD","55752"
"GUNT2","GUNTER",-96.7622,33.3756,224,"HYD","55807"
"GUPC1","GUADALUPE WA",-121.8908,37.1867,512,"HYD","55811"
"GUYA4","DS HWY 65 BR",-92.4028,35.2989,113,"HYD","55839"
"GUYP1","GUY'S MILLS",-79.9367,41.6583,-9999,"HYD","55843"
"GVCA3","GRAND CANYON",-113.9556,35.9553,1678,"HYD","55849"
"GVSN2","GRAPEVINE SP",-115.4211,36.3392,1120,"HYD","55887"
"HABC1","HAMILTON BRA",-121.0914,40.2725,1390,"HYD","56009"
"HAKT2","SABINE RIVER",-95.2064,32.5597,-9999,"HYD","56065"
"HANW4","MEDICINE RIV",-106.5125,42.0097,1956,"HYD","56124"
"HAPA3","HAPPY JACK",-111.4078,34.7425,2377,"HYD","56127"
"HAPU1","HOLLADAY DRA",-112.0242,40.6653,1327,"HYD","56134"
"HARC2","SOUTH PLATTE",-105.5808,38.9675,2626,"HYD","56140"
"HAST2","HART 3 N",-102.1075,34.4233,1126,"HYD","56179"
"HATO3","HYATT DAM",-122.4667,42.1722,1529,"HYD","56190"
"HAYV2","POUND RIVER",-82.3500,37.2167,-9999,"HYD","56239"
"HBAC1","HEMLOCK BURN",-117.2225,34.1697,695,"HYD","56250"
"HBCN1","HAIGLER 4ENE",-101.8658,40.0394,-9999,"HYD","56258"
"HBRC1","HEART BAR",-116.7981,34.1583,2040,"HYD","56303"
"HBTI3","LCFWP",-87.2569,41.5361,187,"HYD","56323"
"HCSO2","HECTORVILLE",-96.0056,35.8433,239,"HYD","56414"
"HCWO3","HILLS CREEK",-122.4333,43.7166,389,"HYD","56424"
"HDSN7","HIGHLANDS",-83.2167,35.0703,-9999,"HYD","56487"
"HDWT2","CIBOLO CREEK",-98.1864,29.5013,191,"HYD","56501"
"HEBA3","AZ HEBER 3 S",-110.5656,34.3979,2020,"HYD","56518"
"HEIT2","MARTINEZ CRE",-98.1689,29.4439,-9999,"HYD","56550"
"HENN1","NE WY STATE",-104.0492,41.9903,1226,"HYD","56586"
"HGZM7","N FORK SALT",-92.2333,39.8333,-9999,"HYD","56754"
"HIDC1","HIDDEN DAM",-119.9169,37.2000,787,"HYD","56812"
"HLCC1","HILLCREST",-121.8831,40.8669,1049,"HYD","56960"
"HLLN4","WAWAYANDA ST",-74.4000,41.1833,351,"HYD","57030"
"HMDA3","NR FS HELIPO",-109.3264,33.6350,2787,"HYD","57140"
"HMFW4","HAMS FORK BE",-110.7089,42.1106,2274,"HYD","57159"
"HMTA3","HUALAPAI MOU",-113.8850,35.0990,1988,"HYD","57225"
"HMYO2","HOMINY CREEK",-96.3786,36.4736,-9999,"HYD","57245"
"HMZC2","HUERFANO RIV",-105.3508,37.7278,-9999,"HYD","57247"
"HNDC2","SOUTH PLATTE",-104.8678,39.9219,1525,"HYD","57266"
